	0
1532	PF00267.16
1533	K08720
1534	K14062
1535	K09475
1536	K16076
1537	PF01950.11
1538	PF11186.3
1539	PF05593.9
1540	K11021
1541	PF06864.7
1542	PF05947.7
1543	K11896
1544	TIGR03359
1545	K12790
1546	K13735
1547	PF05925.7
1548	PF04166.7
1549	K00097
1550	1.1.1.262
1551	TIGR00557
1552	PF07201.6
1553	K04058
1554	TIGR02568
1555	PF09059.5
1556	PF02623.10
1557	PF03100.10
1558	K02197
1559	PF09850.4
1560	K11892
1561	TIGR03349
1562	PF12252.3
1563	K15473
1564	PF02163.17
1565	K04772
1566	K04771
1567	K08372
1568	K04691
1569	TIGR00054
1570	TIGR02038
1571	TIGR02037
1572	PF05101.8
1573	K03198
1574	K12079
1575	K12068
1576	PF10671.4
1577	K10962
1578	TIGR03748
1579	PF01375.12
1580	K10928
1581	PF05775.7
1582	PF03284.8
1583	PF05563.7
1584	PF01774.12
1585	K03190
1586	PF03734.9
1587	PF04230.8
1588	K00102
1589	UDPNACETYLMURAMATEDEHYDROG-RXN
1590	1.3.1.98
1591	TIGR00179
1592	PF03888.9
1593	PF03767.9
1594	PF00314.12
1595	PF09619.5
1596	TIGR02567
1597	PF07180.6
1598	PF11546.3
1599	PF02495.12
1600	PF10462.4
1601	PF03482.8
1602	PF11182.3
1603	PF05860.8
1604	K15125
1605	K11016
1606	TIGR01901
1607	PF07824.7
1608	PF12718.2
1609	PF01117.15
1610	PF03318.8
1611	PF15644.1
1612	PF09961.4
1613	PF07577.6
1614	PF08817.5
1615	TIGR03920
1616	TIGR02882
1617	PF13672.1
1618	PF12097.3
1619	K10964
1620	PF13362.1
1621	PF06977.6
1622	PF02048.11
1623	PF04741.7
1624	PF06069.6
1625	PF04449.7
1626	PF12059.3
1627	PF09028.5
1628	PF13539.1
1629	PF01441.14
1630	K05967
1631	PF14891.1
1632	K08644
1633	3.4.24.69-RXN
1634	3.4.24.68-RXN
1635	3.4.24.69
1636	3.4.24.68
1637	PF08090.6
1638	PF13327.1
1639	PF07581.7
1640	PF08786.6
1641	PF05108.8
1642	TIGR03919
1643	PF02510.9
1644	PF12574.3
1645	PF06523.6
1646	PF14855.1
1647	PF07434.6
1648	PF03519.9
1649	PF14897.1
1650	PF08408.5
1651	PF06041.6
1652	PF10106.4
1653	PF05538.6
1654	PF08929.5
1655	PF14282.1
1656	PF14093.1
1657	PF05141.7
1658	PF11550.3
1659	PF05058.7
1660	PF01744.15
1661	PF13079.1
1662	PF09621.5
1663	TIGR02572
1664	PF09413.5
1665	PF08017.6
1666	PF00617.14
1667	PF05689.6
1668	PF07216.7
1669	TIGR02573
1670	PF06590.6
1671	PF13930.1
1672	K15051
1673	3.1.21.1-RXN
1674	PF09143.5
1675	PF09037.5
1676	K13052
1677	K10954
1678	PF14011.1
1679	PF11441.3
1680	PF13573.1
1681	PF13387.1
1682	PF06066.6
1683	PF05555.6
1684	PF13475.1
1685	K03199
1686	K12080
1687	TIGR00929
1688	PF02467.11
1689	PF05150.7
1690	PF09023.5
1691	PF13678.1
1692	PF02090.10
1693	PF14296.1
1694	PF04991.8
1695	K07271
1696	PF01709.15
1697	TIGR01033
1698	PF08020.6
1699	PF14264.1
